,SongName,ArtistName,id,cluster
757,3 Nights,Dominic Fike,0uI7yAKUf52Cn7y3sYyjiX,0
758,YO LE LLEGO,"J Balvin, Bad Bunny",0uIfrUwwg0Z7KTitul7E3T,1
759,Sand In My Boots,Morgan Wallen,0uRrG2jRR5tuifsYIJHEao,0
760,So Am I,Ava Max,0uUNN1nSoUx1A4fkDCWDQ7,0
761,Problems,Lil Wayne,0ubdf6zWT1It2saK41SkO0,0
762,That's On Me,Mac Miller,0udOCZp7yk0Ml92C0k8H8D,0
763,Style,Taylor Swift,0ug5NqcwcFR2xrfTkc7k8e,1
764,Trivia 起 : Just Dance,BTS,0usLRFLmYXYahKNgXxsuJc,1
765,Neighbors,J. Cole,0utlOiJy2weVl9WTkcEWHy,0
766,Tough Love,"Avicii, Agnes, Vargas & Lagola",0uxDHazXSSu9bSZ28LsnAN,0
767,Dynamite,BTS,0v1x6rN6JHRapa03JElljE,0
768,raindrops (an angel cried),Ariana Grande,0v2LUO8oTHnkjQ8MmKuXyk,2
769,Rockstar In His Prime,Juice WRLD,0v36cov6Z6aEV5ZgIlqZMk,0
770,Babe (Taylor's Version) (From The Vault),Taylor Swift,0v4z1tuZvn6LGknom9Qx7d,1
771,No Problem (feat. Lil Wayne & 2 Chainz),"Chance the Rapper, Lil Wayne, 2 Chainz",0v9Wz8o0BT8DU38R4ddjeH,3
772,Boys Will Be Boys,Dua Lipa,0vQcyuMEfRBd21ojZ62N2L,2
773,By Your Side (feat. Tom Grennan),"Calvin Harris, Tom Grennan",0vR2rIVORmgeKiGIgNT0fV,0
774,long story short,Taylor Swift,0vVMlbdYx2080Oa9FndPZr,0
775,"The Man, The Myth, The Legend - Interlude",Juice WRLD,0veNpTQFqfmTX0rsJmO2rO,2
776,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",0vjeOZ3Ft5jvAi9SBFJm1j,0
777,I Saw Mommy Kissing Santa Claus,The Jackson 5,0vmANNClszGQZ0FISySK61,0
778,Heaven,Avicii,0vrmHPfoBadXVr2n0m1aqZ,1
779,Summer Games,Drake,0w1ZtnzQmtmuuoKxHT0pLL,1
780,8am in Charlotte,Drake,0w3Mfe4PIVjuFjJbe3OlYv,1
781,Hard Times,Paramore,0w5Bdu51Ka25Pf3hojsKHh,0
782,PUPPET,"Tyler, The Creator",0wEC0GNF74lAqrEFZJMl1m,0
783,First Class,Jack Harlow,0wHFktze2PHC5jDt3B17DC,0
784,Lets Link,WhoHeem,0wYOlCybpxFc2azWLyYj0S,2
785,Sweet Nothing,Taylor Swift,0wavGRldH0AWyu2zvTz8zb,0
786,Narcos,Migos,0wbnC9AUenxp613TYaJsGK,1
787,Roaring 20s,Panic! At The Disco,0wdV94AXGRphrbkDWLNzVC,0
788,The One,The Chainsmokers,0wfbD5rAksdXUzRvMfM3x5,0
789,Agosto,Bad Bunny,0wihfILRNOwE2156Shezc8,2
790,BackOutsideBoyz,Drake,0wshkEEcJUQU33RSRBb5dv,2
791,"Não, Não Vou",Mari Fernandez,0xBQvhJAm6f7J142ympKOn,0
792,Issues,Julia Michaels,0xG0SHshCStMEyNbNC5d4k,0
793,RUBICON,Peso Pluma,0xGZjxYqcNQ8WqxyeZ4eSN,1
794,Addicted To You,Avicii,0xIVvRmjztR1AwuHrkhH41,2
795,With You,AP Dhillon,0xIuPDzJSnJywALez8dwKR,2
796,All I Want for Christmas Is You,Michael Bublé,0xPaZrF25ltzvz1a2Pm5DQ,2
797,24 (feat. Lil Baby),"Money Man, Lil Baby",0xUvi7wldroBzaZCengPa5,0
798,Never Going Home,Kungs,0xfMlIW8lS40qvpsUw1l0X,2
799,Sacrifices,"Drake, 2 Chainz, Young Thug",0xl1w2q4VLojeXp4JfazPL,3
800,Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",0xxZY5C9xxij3D1HkzbnfC,0
801,Bad Decisions (with BTS & Snoop Dogg),"benny blanco, BTS, Snoop Dogg",0xzI1KAr0Yd9tv8jlIk3sn,0
802,Way down We Go,KALEO,0y1QJc3SJVPKJ1OvFmFqe6,0
803,Wait a Minute!,WILLOW,0y60itmpH0aPKsFiGxmtnh,0
804,Feelings,Lauv,0y675KDleCZEudjoeL1sQQ,0
805,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"Taylor Swift, Gary Lightbody",0y6kdSRCVQhSsHSpWvTUm7,3
806,WUNNA,Gunna,0y7Ao3CVJsyKFmqdjutiIF,2
807,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","Metro Boomin, Don Toliver, Wizkid, BEAM, Toian",0y8Pu7x5jXgUjOIJvQIF5L,0
808,Fuckst mich nur ab,Bonez MC,0y8mJFmm4ogCHnfe0oTuT6,0
809,DUCKWORTH.,Kendrick Lamar,0y9uTzK9cNKSAEHnpeRG8C,1
810,GRoCERIES,"Chance the Rapper, TisaKorean, Murda Beatz",0yFvWTLs3iIwDbc91noXGT,1
811,Pandora,"DJ Matt D, Menor MC, MC GP, Vulgo FK",0yL7K9MzC20uBesZTPY81r,0
812,Flowers,Miley Cyrus,0yLdNVWF3Srea0uzk55zFn,0
813,In Ha Mood,Ice Spice,0yUaLqhsVsguBpoOPL4cO7,2
814,No Way!,Bazzi,0yYwS7CXKIPC4kWPvZQfsT,2
815,Apocalypse,Cigarettes After Sex,0yc6Gst2xkRu0eMLeRMGCX,1
816,Puerto Rico,Fero47,0ypCvaP431mEM6znlVHNRP,0
817,Talk,Yeat,0ypjMI7vHiDP4sLB1C0Qna,0
818,Whatever It Takes,Imagine Dragons,0yt31hMKZMiyIEfiBiLD2N,0
819,3 A.M.,"Jesse & Joy, Gente De Zona",0yyZN5ASdrYu0XYWFzfxUu,0
820,Summer of Love (Shawn Mendes & Tainy),"Shawn Mendes, Tainy",0z8hI3OPS8ADPWtoCjjLl6,0
821,Another Day Of Sun,La La Land Cast,0zCfmceT1YvtZXGbR6Roht,1
822,After Dark,Mr.Kitty,0zCgWGmDF0aih5qexATyBn,1
823,Roses - Imanbek Remix,"SAINt JHN, Imanbek",0zLCBJZSiELJf02ucPP9wb,0
824,KEKE,"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",0zl3PdjIl320fK0pxBGWNR,2
825,"Manike (From ""Thank God"")","Yohani, Jubin Nautiyal, Tanishk Bagchi, Rashmi Virag, Surya Ragunaathan",0zlGnseLGzRIBA0TJcb3Bo,0
826,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,0zo975x58DlXbZllWvfYhg,1
827,OK Not To Be OK,"Marshmello, Demi Lovato",0zzVTGyRrWpQu8Fr28NRAv,2
828,Sine From Above (with Elton John),"Lady Gaga, Elton John",0zzsyWc45eUcSjw4FNHxeN,1
829,Panini,Lil Nas X,1000nHvUdawXuUHgBod4Wv,2
830,TOO MUCH,"The Kid LAROI, Jung Kook, Central Cee",100fbGocyqbBPQkTDchi2g,0
831,Heavy (feat. Kiiara),"Linkin Park, Kiiara",104buTcnP2AsxqB7U1FIZ4,2
832,Don't Go Yet,Camila Cabello,1058fW9H3fZA6QjYCdOBad,2
833,Tragic Endings (feat. Skylar Grey),"Eminem, Skylar Grey",107CfwBqfICzcKur8k7UCA,1
834,Yours,JIN,10IfXtjKQmOiON7tNAHv0y,1
835,Freaky Friday (feat. Chris Brown),"Lil Dicky, Chris Brown",10Igtw8bSDyyFs7KIsKngZ,0
836,To Be Loved,Adele,10ImcQk9tihY1EKMDIbvXJ,3
837,Yet To Come,BTS,10SRMwb9EuVS1K9rYsBfHQ,0
838,All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",10hMM5nsZQf66ldBlgWBfG,0
839,Need to Know,Doja Cat,10hcDov7xmcRviA8jLwEaI,0
840,Numb,"Marshmello, Khalid",10xV5l9nhLvFpR8mqzs0bL,2
841,Definitivamente,"Daddy Yankee, Sech",113PlnpZbHd3WIqeYjhZWv,0
842,MIA,"Bad Bunny, Drake",116H0KvKr2Zl4RPuVBruDO,0
843,I Love You So,The Walters,1175r6ZmkUjX8dRJLz9Ohk,2
844,Bloody Mary,Lady Gaga,11BKm0j4eYoCPPpCONAVwA,1
845,Strangers,"Halsey, Lauren Jauregui",11EDhDAVDtGPoSar6ootYA,1
846,Se Te Nota (with Guaynaa),"Lele Pons, Guaynaa",11EnQRgRMJwMAesfkB5pnu,2
847,Ring,Selena Gomez,11Ey4yJVeWEsA73KjACkVY,2
848,Home with You,Madison Beer,11GGSyTB8cS9TgONHBOhEX,0
849,Too Good,"Drake, Rihanna",11KJSRSgaDxqydKYiD2Jew,1
850,Vulnerable,Selena Gomez,11OwAR3GlBj9E35Cznf7Lj,0
851,Step Into Christmas - Remastered 1995,Elton John,11P4sSu6BH2lAbWk1sL6cK,1
852,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",11VApNQCWLJdzxWrlmwzUa,0
853,Ahora Me Llama,"KAROL G, Bad Bunny",11ZRYISCsAsLyyJo47DudZ,1
854,Slumber Party (feat. Princess Nokia),"Ashnikko, Princess Nokia",11ZulcYY4lowvcQm4oe3VJ,0
855,Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",11cDEev79fPKi6uJCjUhu8,1
856,Alien Blues,Vundabar,11iIikXxC6NP0Ma8vMD27x,2
857,Tik Tok (feat. Marracash & Guè),"Sfera Ebbasta, Marracash, Guè",11jGgkrtDbYaKlN0y1nPbC,1
858,5% TINT,Travis Scott,11kDth1aKUEUMq9r1pqyds,0
859,All Day And Night,"Jax Jones, Martin Solveig, Madison Beer, Europa",11o2y87vqODipLK98a1v34,2
860,Pipe Down,Drake,11pEKMLmavDu8fxOB5QjbQ,0
861,Attention,Doja Cat,11xC6P3iKYpFThT6Ce1KdG,1
862,İmdat,cakal,123hB20IVD2yw1NMIgrqb3,2
863,Toosie Slide,Drake,127QTOFJsJQp5LbJbu3A1y,1
864,O Me Voy O Te Vas,Natanael Cano,127UT7AiWflJwjXWUBBVTQ,1
865,On The Road (feat. Meek Mill & Lil Baby),"Post Malone, Meek Mill, Lil Baby",12Fkyg9lpmaz2zmKOfw2Y2,0
866,Cornelia Street,Taylor Swift,12M5uqx0ZuwkpLp5rJim1a,1
867,Never Be Like You,"Flume, kai",12REd1n8PeiHHWOh066tpr,1
868,All The Stars (with SZA),"Kendrick Lamar, SZA",12SJpYZEdj4kzWZ8FPFg4Y,1
869,Cartão Black,"MC Caverinha, KayBlack, Wall Hein",12YCtLHGk6tP6RbHDHflCs,2
870,HOPE,NF,12cZWGf5ZgLcKubEW9mx5q,1
871,Still Life (with Anderson .Paak),"RM, Anderson .Paak",12hD59WtTU92K1VcCXqLlw,0
872,Focus (feat. 21 Savage),"Bazzi, 21 Savage",12iDo4Kdw9vA2X1lN3UTVu,2
873,You Be Love (feat. Billy Raffoul),"Avicii, Billy Raffoul",12ip0ceCeszDTDFxDY1AXJ,0
874,Alone,Marshmello,12mGwph2YzDIlChtq3EdXP,1
875,Innocent (Taylor's Version),Taylor Swift,12nBPF4Rh4XLFJV0YLN7uj,3
876,Homemade Dynamite,Lorde,12o6dxWGk29uIAP3OWY0pM,0
877,Adan y Eva,Paulo Londra,132ALUzVLmqYB4UsBj5qD6,1
878,GHOST TOWN,Benson Boone,135Lf4Q0CzlMNfOxbEUsLH,0
879,Unstable (feat. The Kid LAROI),"Justin Bieber, The Kid LAROI",137mSruegm1u6x9NvwiagR,2
880,Strangers By Nature,Adele,13CVSGLSFl4UxpDVR6u3dq,0
881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),"The Kid LAROI, YoungBoy Never Broke Again, Internet Money",13EW51DKru044OJDJ9Bm8o,2
882,Let It Go,James Bay,13HVjjWUZFaWilh2QUJKsP,1
883,RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator, Teezo Touchdown",13HsOwrwTA5HgLuoaDHncP,1
884,2 Be Loved (Am I Ready),Lizzo,13Irp51zj01BZu2XtDrnAg,0
885,Besándote,Piso 21,13X0XdLMOdtbXVtAj2ox4h,0
886,69,"Nicky Jam, Feid",13Z5Q40pa1Ly7aQk1oW8Ce,1
887,Hear Me Calling,Juice WRLD,13ZyrkCDmRz5xY3seuAWYk,0
888,Jorja Interlude,Drake,13e6f8t7RKXuxZ0JdaaJRG,2
889,Kiss and Make Up,"Dua Lipa, BLACKPINK",13hvHEstJ4sNbzdroPrPI3,0
890,Saturn Returns Interlude,Ariana Grande,13jRSCLoWbCoU1XEdJRbgn,2
891,Djadja (feat. Maluma) - Remix,"Aya Nakamura, Maluma",13vDU8nPsvTGEVTMB8Vw7g,2
892,Hurt You,"The Weeknd, Gesaffelstein",13wNEvWmBsWaWVtiLPRIW5,1
893,Maan Meri Jaan,King,1418IuVKQPTYqt7QNJ9RXN,0
894,supernatural,Ariana Grande,142PiXzA84lmEw2RstFHFa,2
895,Wrecked,Imagine Dragons,149BxWeweaCqmsyedkNiiE,1
896,Holiday,KSI,14Bcv6siTBPw3TlP84dasC,0
897,when the party's over,Billie Eilish,14JzyD6FlBD5z0wV5P07YI,0
898,Queen of Kings,Alessandra,14LdhxElpZS0rKVV4nxtdA,2
899,Girls Need Love (with Drake) - Remix,"Summer Walker, Drake",14SaZBTjxlorHJQxXh01Hu,1
900,Work,"Rihanna, Drake",14WWzenpaEgQZlqPq2nk4v,0
901,"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii","XXXTENTACION, Rio Santana, Judah, Andrez Babii",14boA065HMHWvqyPPEeN4y,0
902,Wolke 10,MERO,14f1n3XCW3fQhAODW0CwLK,0
903,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",14gkWVFMwdxBMyqBw1wmIg,0
904,goodnight n go,Ariana Grande,14kYOiFVPb7E7NfFbqhdln,0
905,true story,Ariana Grande,14kyXBpg91RVq8bNRDS1q2,2
906,Leave Me Alone,Flipp Dinero,14mHfNsSHN0FbLftyjrV9g,0
907,7 rings,Ariana Grande,14msK75pk3pA33pzPVNtBF,0
908,Feel Special,TWICE,14rWuS6yllHOdfZ8sZsZUj,0
909,Happy Now,"Kygo, Sandro Cavazza",14sOS5L36385FJ3OL8hew4,0
910,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",14wf185UxfNbSy8dwt4r4q,1
911,Location,Khalid,152lZdxL1OR0ZMW6KquMif,0
912,Evoque Prata,"MC MENOR HR, MC MENOR SG, DJ ESCOBAR",1597vvneWf0zoQrg2D8yH6,2
913,Straightenin,Migos,15EH2glphTjcarRjAsc0EB,1
914,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",15HMh4yxdf4wyxSZSlOgGZ,0
915,Love The Way You Lie,"Eminem, Rihanna",15JINEqzVMv3SvJTAXAKED,1
916,Good Without,Mimi Webb,15OCqNPYoLziEAsbVnqRj5,0
917,La Tóxica,Farruko,15OjBeqNX3bShsGYQbteRv,0
918,"Merry Christmas, Happy Holidays",*NSYNC,15coTBAzEN1bOeipoNDZAR,1
919,I Don’t Know Why,Imagine Dragons,15dnkAHcHC0vrIUlbiPiqU,0
920,Love No More,"Loud Luxury, anders",15fZrZhdK0g1BS9sDeW6sD,2
921,Investe Em Mim,Jonas Esticado,15k1TDabqSEmyXOwMq9RM7,0
922,This Feeling,"The Chainsmokers, Kelsea Ballerini",15kQGEy89K8deJcZVFEn0N,0
923,[The Jackie] (with J. Cole & Lil Tjay),"Bas, J. Cole, Lil Tjay",15qKrPi4Kg0z7g9HlwWyeb,0
924,Falling Like The Stars,James Arthur,15xWRPHQMeqgdkGzInx3PY,0
925,Talking to the Moon,Bruno Mars,161DnLWsx1i3u1JT05lzqU,0
926,Slow Hands,Niall Horan,167NczpNbRF7oWakJaY3Hh,0
927,CAIRO,"KAROL G, Ovy On The Drums",16dUQ4quIHDe4ZZ0wF1EMN,0
928,LIGHTSKIN SH*T (feat. Future & jetsonmade),"DaBaby, Future, jetsonmade",16oi4OiKmkO51l60F5R9kR,2
929,Yummy,Justin Bieber,16wAOAZ2OkqoIDN7TpChjR,0
930,Ratchet Happy Birthday,Drake,16x6tqeSkIjoLEf7SJLlYy,0
931,before I close my eyes,XXXTENTACION,16x9bQHw8TBNaGDyULvwad,2
932,Epidemic,Polo G,170DNUSnQRp1tGpppF26pA,0
933,La Corriente,"Bad Bunny, Tony Dize",1797zYiX4cKosMH836X9Gt,0
934,J CHRIST,Lil Nas X,17CWWoszMuoGecCJzmOubE,2
935,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",17Fd6Yb7mSbinKG8LoWfFl,0
936,Queen,Shawn Mendes,17FyWGvqby379Q92sn23jW,0
937,Another Late Night (feat. Lil Yachty),"Drake, Lil Yachty",17IBDpAl3J39swaoPlfGpp,2
938,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",17JYzDCW1UTndfURuTydF2,1
939,Me Dijeron,Ozuna,17UUYZ290omPaJY4wKeyHh,2
940,Paradigmas,Jorge & Mateus,17UfXrL7Run3GyZJW4uRjC,2
941,Bickenhead,Cardi B,17Yq72h0p15OhCbZ5lJ5gd,0
942,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,17cia5k4BpGVlyEfqrFH50,0
943,Igualito a Mi Apá,"Fuerza Regida, Peso Pluma",17js0w8GTkTUFGFM6PYvBd,2
944,Lose Control,Teddy Swims,17phhZDn6oGtzMe56NuWvj,0
945,AP - Music from the film Boogie,Pop Smoke,17vGPZ5EsdvtgAOCD4FLWI,2
946,All My Love (feat. Conor Maynard),"Cash Cash, Conor Maynard",1839RWzPRZCVgvamu4sHSN,0
947,Christmas Tree,V,186NCtNk1tUYS7c2DxgJ7O,0
948,POPOPOP,Gambi,18HNGxDOcshRU2Hdu8tMOM,2
949,Un Verano Sin Ti,Bad Bunny,18HOjcvTVV7W8YzBuOsAPS,2
950,I Wanna Know (feat. Bea Miller),"NOTD, Bea Miller",18W92Zm1KjLCbUIszOhpkD,0
951,Lost,Maroon 5,18XlJEroUwFo0tLZxscgXE,0
952,The Motto,"Tiësto, Ava Max",18asYwWugKjjsihZ0YvRxO,2
953,WFM,RealestK,18ddJHQ7CUzNBiy55L0Xjj,2
954,Anyone,Demi Lovato,18ssFhD04lWo1RzpcohnrG,1
955,DJ Play A Christmas Song,Cher,18uSfZqFBxQFi8CsXOIbhy,0
956,comethru,Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,0
957,RAPSTAR,Polo G,18vXApRmJSgQ6wG2ll9AOg,2
958,Born Again,Rihanna,18zQTt3ifDv6iLni2YuXMg,0
959,Writer In The Dark,Lorde,193Dm5SqYy3hTSbuzxbwKc,0
960,ivy,Taylor Swift,19CSr8rwW05VJL2F91KFNK,1
961,Wassup (feat. Future),"Lil Uzi Vert, Future",19Ec2gbNtQTE44IizcPjtD,0
962,Auntie Diaries,Kendrick Lamar,19Fg3WrTfo35Ji3PtfZE6J,1
963,Komang,Raim Laode,19GVttbvglsRrRB8FGGM05,1
964,Famous,21 Savage,19HA9J80qZfIkAnp2g8N2S,1
965,La Cintura,Alvaro Soler,19MBk3PbNFE36wqIqkMq9H,0
966,Madrid (feat. Myke Towers),"Maluma, Myke Towers",19OXtYzrJyCrQvTbfukt4H,0
967,...Ready For It?,Taylor Swift,19WjVVgXjdKXfLXoaDPwTM,0
968,Famous,Kanye West,19a3JfW8BQwqHWUMbcqSx8,0
969,Valentine,5 Seconds of Summer,19hh7DkfRBrpRGYfKlw7jb,0
970,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1A6OTy97kk0mMdm78rHsm8,2
971,Midnight Train,Sam Smith,1A85fOmviQuGgkF6Lww6Nd,0
972,Kids Again,Sam Smith,1ABS9lKaZ1uXkXCqr9zFO7,0
973,Santa Tell Me,Ariana Grande,1ADjWm8QNhgNV8yCNNgQ1T,0
974,Genick,Loredana,1AGjF8pckOxTGeb5zubyqH,0
975,Take Me Back to London (feat. Stormzy),"Ed Sheeran, Stormzy",1AI7UPw3fgwAFkvAlZWhE0,0
976,Motiv8,J. Cole,1AT4xjNarTswd0UZ5FlmKF,2
977,Aura,"Ozuna, Arthur Hanlon",1AVu7Kc2MRrLfOG1RCEf07,0
978,Wild Flower (with youjeen),"RM, Youjeen",1AZjCZSGEjlxUufFQwSszF,1
979,Bohemian Rhapsody - Remastered 2011,Queen,1AhDOtG9vPSOmsWgNW0BEY,3
980,Gyal You a Party Animal - Remix,"Charly Black, Daddy Yankee",1AkTW13ysu0AJrwuM6UY0I,1
981,maybe (feat. Bring Me The Horizon),"mgk, Bring Me The Horizon",1Al4Z4K76RCKj31mExavs7,2
982,THE LONELIEST,Måneskin,1Ame8XTX6QHY0l0ahqUhgv,1
983,Stay High,Juice WRLD,1AnkdcHl86kEhDvhaKDuIe,2
984,Fukk Sleep (feat. FKA twigs),"A$AP Rocky, FKA twigs",1AqemxWsT0iGg5Lvkm16Bt,0
985,Consequences - orchestra,Camila Cabello,1ArLnG0bHaHPXqf08sEKM0,0
986,Can We Kiss Forever?,"Kina, Adriana Proenza",1Av69kr9JitqPWo7WJLS5q,0
987,Casper,Takeoff,1B4gJRq61xTs6r1O0Uq2iY,0
988,Born With A Beer In My Hand,Morgan Wallen,1BAU6v0fuAV914qMUEESR1,0
989,Broken Smile (My All),Lil Peep,1BCBBO8VUEFOb6RBct4XDp,1
990,Ruff Ryders' Anthem,DMX,1BKT2I9x4RGKaKqW4up34s,0
991,Light Switch,Charlie Puth,1BSMpVGWs3v5BZKnAQziAc,0
992,we fell in love in october,girl in red,1BYZxKSf0aTxp8ZFoeyM3d,0
993,Feels (feat. Young Thug & J Hus),"Ed Sheeran, Young Thug, J Hus",1Bdptrvb7nQkq8kCw3siE9,2
994,MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",1Bf8wk84B42gGewriwJlT9,2
995,Pass The Dutchie,Musical Youth,1BkY0N8ChFk2mdLbAUu8ZK,0
996,Some Kind Of Drug (feat. Marc E. Bassy),"G-Eazy, Marc E. Bassy",1Bqxj0aH5KewYHKUg1IdrF,1
997,Powerglide (feat. Juicy J) - From SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",1BuZAIO8WZpavWVbbq3Lci,3
998,Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,0
999,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",1BxkZE73h9BN3qwuA15TA3,2
1000,Kids in Love (feat. The Night Game),"Kygo, The Night Game",1Bxzw8ag71snOU9IbhXVD6,1
1001,ACHO PR,"Bad Bunny, Arcángel, De La Ghetto, Ñengo Flow",1C7lXfx4Y5maVl4AgUVlHA,3
1002,RAW SHIT (feat. Migos),"DaBaby, Migos",1CCDIow4pPYyJYzhtTUYz2,0
1003,Get Low (with Liam Payne),"Zedd, Liam Payne",1CKd1PnqfYx0H12V9MSaIY,0
1004,Perfect Strangers,"Jonas Blue, JP Cooper",1CUVN2kn7mW5FjkqXTR2W1,0
1005,All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m,0
1006,"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante",1Crj1zkRMpsEjb9NOR6Zof,0
1007,L’enfer,Stromae,1CsuHmKOfCYxPoO4xjlAWV,0
1008,Sunday Best,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,2
1009,92 Explorer,Post Malone,1D2L6MefbXon28PzIk9I3r,0
1010,By Your Side,"Jonas Blue, RAYE",1D3ODoXHBLpdxolZRHWV1j,0
1011,m y . l i f e (with 21 Savage & Morray),"J. Cole, 21 Savage, Morray",1D3z6HTiQsNmZxjl7F7eoG,0
1012,What Would Pluto Do,Drake,1DAibqbopEYULPEtE8WHTE,0
1013,"fuck, i'm lonely","Lauv, Anne-Marie",1DEkGXICCGLjDF7C65KBFw,0
1014,Piece Of Your Heart,"MEDUZA, Goodboys",1DFD5Fotzgn6yYXkYsKiGs,2
1015,Gangsta's Paradise,"Coolio, L.V.",1DIXPcTDzTj8ZMHt3PDt8p,1
1016,TEST DRIVE,Joji,1DMEzmAoQIikcL52psptQL,0
1017,WFM,RealestK,1DNA2z7Txysjk3cNz2nDLm,2
1018,Estamos Bien,Bad Bunny,1DRJZUVcs6i6TkdNUXAi6m,0
1019,Sky Walker (feat. Travis Scott),"Miguel, Travis Scott",1DRW9bQzt2SE8f7H4KJZyL,1
1020,My Bad,Khalid,1DUSuNhF8P5vUGNPpQiZa5,2
1021,Good News,Mac Miller,1DWZUa5Mzf2BwzpHtgbHPY,3
1022,Wonderwall - Remastered,Oasis,1DadkoAI2gicYJfindPY20,1
1023,PPP,KEVIN ROLDAN,1DcxnVNFAyVl2sDQ646pXS,2
1024,No Mistakes,Kanye West,1DdgqEZk4Hqfpl3drdXJun,2
1025,Antisocial (with Travis Scott),"Ed Sheeran, Travis Scott",1DhRbox3xkceP64k3JeYfW,2
1026,Took His Time,Lil Wayne,1Dk3CfJEtqvj7Xg2AWwfEn,1
1027,Tattoo,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,0
1028,Hard Feelings/Loveless,Lorde,1Dp7JGFNjvg8Nk0CtMCcnr,3
1029,MERCHO,"LiL CaKe, Migrantes, Nico Valdi",1DxEbt6OSbrkRthk6pjZue,2
1030,Jumpsuit,Twenty One Pilots,1E1uGhNdBe6Dddbgs2KqtZ,1
1031,Best Friends,The Weeknd,1E5Xu8dur0fAjSP1VpVhAZ,2
1032,Don't Pretend,"Khalid, SAFE",1E6DEDWDKHoOW0fcFuDghV,2
1033,WITHOUT YOU (with Miley Cyrus),"The Kid LAROI, Miley Cyrus",1EHUQesfVKwbthtNcpBi9g,2
1034,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",1EJIcDYXwSqipW5dFe4uJz,1
1035,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,"Guilherme & Benuto, Hugo & Guilherme",1ELsaYdj2NlxLvkx9g24xZ,0
1036,Rags2Riches (feat. ATR Son Son),"Rod Wave, ATR Son Son",1ENdcyhqdylaLsPVgB83qq,2
1037,abcdefu (angrier),GAYLE,1EQFOouqdKYdpbNoOHRVO2,2
1038,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",1EYeZGTMCjV7uVey5fNWXM,2
1039,ELEMENT.,Kendrick Lamar,1EaKU4dMbesXXd3BrLCtYG,0
1040,Good Life (with G-Eazy & Kehlani),"G-Eazy, Kehlani",1Eck97uRMlprKOOJN9oO1E,1
1041,Otro Trago,"Sech, Darell",1Ej96GIBCTvgH7tNX1r3qr,1
1042,Goteo,Duki,1EoEU4HY57qaITp06TkC6B,2
1043,Unforgettable,"French Montana, Swae Lee",1F2HXIJrE2Xn81OzT2zZvW,1
1044,love race (feat. Kellin Quinn),"mgk, Kellin Quinn",1F9kEuwT29fgqlovIclu81,0
1045,Runaway,Lil Peep,1FBi1YWCAxlRmfuUbMINqO,0
1046,Summertime Sadness,Lana Del Rey,1FEiijYPJtyswChfcpv3p0,1
1047,All We Got (feat. KIDDO),"Robin Schulz, KIDDO",1FP9s72rDYty6mfoOEYKnE,0
1048,I Got You,Bebe Rexha,1FUViuNSldssMIawrOXF2i,0
1049,Atlantis,Seafret,1Fid2jjqsHViMX6xNH70hE,1
1050,Cúrame,Rauw Alejandro,1FlL8ycld6uVDDyhV7P5FA,2
1051,ICONIC (ft. Jaden Smith),"Logic, Jaden",1FmdAhS8FqRoEJ4jcSfuKZ,3
1052,Bella,Wolfine,1Ft13La2daEGqz5yWJC7lx,0
